"","Name","City","State","Locale","Control","Cost_att","Federal_loan","Pell_Grant","Women","Dependent","Married","pct_white","pct_black","pct_hispanic","pct_asian","Low_income","Mid1_income","Mid2_income","High1_income","High2_income","Completion_rate","Monthly_debt","Mean_earning_6","Mean_earning_7","Mean_earning_8","Mean_earning_9","Mean_earning_10","Mean_earning_male_6","Mean_earning_female_6","Mean_earning_male_10","Mean_earning_female_10"
"1","Alabama A & M University","Normal","AL","City","Public",20809,0.9300000072,0.8100000024,0.5299999714,0.8600000143,0.0299999993,46.8400001526,47.9799995422,3.7899999619,1.4800000191,0.6325957148,0.172110994,0.0994028802,0.0579557429,0.0379346681,NA,361.891446885773,26100,29600,30300,33800,35300,25000,27000,35200,35400
"2","University of Alabama at Birmingham","Birmingham","AL","City","Public",22232,0.9200000167,0.5899999738,0.6499999762,0.6499999762,0.1099999994,69.0199966431,27.7600002289,2.0299999714,1.1000000238,0.450312437,0.1664986898,0.1370691393,0.1251763757,0.1209433582,NA,222.304745944118,37400,40000,42100,44500,46300,35200,41100,42200,53200
"3","Amridge University","Montgomery","AL","City","Private",12133,0.9700000286,0.6999999881,0.5099999905,0.0799999982,0.6200000048,70.8799972534,22.5300006866,6.9400000572,1.2899999619,0.7912087912,0.1318681319,0.0366300366,NA,NA,NA,237.814379382079,38500,38700,39300,42400,42100,31200,44400,33000,48600
"4","University of Alabama in Huntsville","Huntsville","AL","City","Public",20999,0.9200000167,0.6000000238,0.5500000119,0.6100000143,0.1700000018,76.3799972534,18.9799995422,2.5499999523,1.4199999571,0.4121435143,0.1494940202,0.1384544618,0.1375344986,0.1623735051,NA,242.984257194733,39300,43400,45800,50200,52700,36700,42100,45800,61300
"5","Alabama State University","Montgomery","AL","City","Public",18100,0.9399999976,0.8500000238,0.5699999928,0.8299999833,0.0299999993,42.6899986267,52.3199996948,4.0900001526,1.4099999666,0.6416231418,0.1647247891,0.1048613901,0.0490156689,0.03977501,NA,331.813097771753,21200,25200,26400,29400,30700,21400,21100,30500,30900
"6","The University of Alabama","Tuscaloosa","AL","City","Public",27205,0.9399999976,0.5299999714,0.5600000024,0.8399999738,0.0500000007,75.3499984741,21.0599994659,2.4100000858,1.2000000477,0.269895059,0.1318320944,0.1380629646,0.1376257105,0.3225841714,NA,245.56919610106,35700,41700,44700,47200,49100,32000,40000,42200,56600
"7","Central Alabama Community College","Alexander City","AL","Town","Public",11475,0.5299999714,0.8600000143,0.7200000286,0.4699999988,0.25,71.5100021362,26.8999996185,1.0099999905,0.2199999988,0.6363636364,0.1695804196,0.111013986,0.0576923077,0.0253496503,NA,97.0696258103897,25300,26600,28000,29400,31400,23000,30400,28700,37500
"8","Athens State University","Athens","AL","Town","Public",NA,0.8700000048,0.6800000072,0.7200000286,0.2199999988,0.4600000083,83.8899993896,12.2600002289,2.4000000954,0.6499999762,0.5099295324,0.1825752723,0.1633568225,0.0909673286,0.0531710442,NA,191.637030759455,34600,37500,38200,42100,41500,31100,43200,36800,51600
"9","Auburn University at Montgomery","Montgomery","AL","City","Public",18665,0.9100000262,0.6700000167,0.6800000072,0.5899999738,0.1400000006,59.9700012207,37.2099990845,1.6200000048,0.9100000262,0.5425434584,0.1738334858,0.1193961574,0.0983531565,0.065873742,NA,229.465026714643,30400,34500,35300,35500,36700,28800,33300,34500,40600
"10","Auburn University","Auburn University","AL","City","Public",29164,0.9599999785,0.4600000083,0.4900000095,0.8700000048,0.0399999991,75.9000015259,19.7999992371,2.8900001049,1.6499999762,0.2626520204,0.1304433111,0.1335817968,0.1571204394,0.3162024323,NA,222.304745944118,39300,44100,47100,49700,52100,34200,43900,43400,60000
